image_id,n_val_samples,accuracy_selected_option,baseline_accuracy_selected_option,f1_macro_selected_option,accuracy_preferred_response_length,baseline_accuracy_preferred_response_length,f1_macro_preferred_response_length,accuracy_preferred_technical_level,baseline_accuracy_preferred_technical_level,f1_macro_preferred_technical_level,accuracy_preferred_format,baseline_accuracy_preferred_format,f1_macro_preferred_format,accuracy_perceived_error_impact,baseline_accuracy_perceived_error_impact,f1_macro_perceived_error_impact,accuracy_preferred_explanation_types_raw,baseline_accuracy_preferred_explanation_types_raw,f1_macro_preferred_explanation_types_raw,jaccard_preferred_explanation_types_raw,baseline_jaccard_preferred_explanation_types_raw,accuracy_main_goals_raw,baseline_accuracy_main_goals_raw,f1_macro_main_goals_raw,jaccard_main_goals_raw,baseline_jaccard_main_goals_raw
1,27,0.037037037037037035,0.5555555555555556,0.025,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.5925925925925926,0.5925925925925926,0.18604651162790697,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.037037037037037035,0.14814814814814814,0.0392156862745098,0.46851851851851845,0.4388888888888889,0.0,0.0,0.0,0.2705988455988456,0.19181363903586124
2,27,0.18518518518518517,0.37037037037037035,0.10780423280423279,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.4444444444444444,0.5925925925925926,0.15384615384615385,0.5185185185185185,0.6296296296296297,0.22764227642276424,0.037037037037037035,0.14814814814814814,0.029411764705882353,0.4333333333333333,0.4388888888888889,0.0,0.0,0.0,0.2705988455988456,0.19181363903586124
3,27,0.3333333333333333,0.14814814814814814,0.2561728395061728,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.5925925925925926,0.5925925925925926,0.18604651162790697,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.037037037037037035,0.14814814814814814,0.008403361344537815,0.487037037037037,0.4388888888888889,0.0,0.0,0.0,0.22183341350008018,0.19181363903586124
4,27,0.18518518518518517,0.18518518518518517,0.10000000000000002,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.5925925925925926,0.5925925925925926,0.18604651162790697,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.037037037037037035,0.14814814814814814,0.00784313725490196,0.47407407407407404,0.4388888888888889,0.0,0.0,0.0,0.2551667468334135,0.19181363903586124
5,27,0.07407407407407407,0.037037037037037035,0.05833333333333333,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.4444444444444444,0.5925925925925926,0.19864864864864867,0.4444444444444444,0.6296296296296297,0.20512820512820515,0.037037037037037035,0.14814814814814814,0.029411764705882353,0.43024691358024686,0.4388888888888889,0.0,0.0,0.0,0.2705988455988456,0.19181363903586124
6,27,0.037037037037037035,0.037037037037037035,0.021052631578947368,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.48148148148148145,0.5925925925925926,0.1625,0.5185185185185185,0.6296296296296297,0.22764227642276424,0.07407407407407407,0.14814814814814814,0.0392156862745098,0.47654320987654314,0.4388888888888889,0.0,0.0,0.0,0.27769761103094437,0.19181363903586124
7,27,0.18518518518518517,0.18518518518518517,0.13095238095238096,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.5925925925925926,0.5925925925925926,0.18604651162790697,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.0,0.14814814814814814,0.0,0.45617283950617277,0.4388888888888889,0.0,0.0,0.0,0.2505371172037839,0.19181363903586124
8,27,0.2222222222222222,0.37037037037037035,0.06060606060606061,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.5925925925925926,0.5925925925925926,0.18604651162790697,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.037037037037037035,0.14814814814814814,0.008403361344537815,0.487037037037037,0.4388888888888889,0.0,0.0,0.0,0.26288279621612953,0.19181363903586124
9,27,0.1111111111111111,0.3333333333333333,0.05263157894736842,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.5925925925925926,0.5925925925925926,0.18604651162790697,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.07407407407407407,0.14814814814814814,0.047058823529411764,0.4987654320987654,0.4388888888888889,0.0,0.0,0.0,0.2403519320185987,0.19181363903586124
10,27,0.14814814814814814,0.25925925925925924,0.13174603174603175,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.7037037037037037,0.7407407407407407,0.2753623188405797,0.4444444444444444,0.5925925925925926,0.15384615384615385,0.4444444444444444,0.6296296296296297,0.20512820512820515,0.037037037037037035,0.14814814814814814,0.023529411764705882,0.39135802469135794,0.4388888888888889,0.0,0.0,0.0,0.2690556357223024,0.19181363903586124
11,27,0.037037037037037035,0.48148148148148145,0.014285714285714285,0.6296296296296297,0.6296296296296297,0.25757575757575757,0.7407407407407407,0.7407407407407407,0.28368794326241137,0.5925925925925926,0.5925925925925926,0.18604651162790697,0.5925925925925926,0.6296296296296297,0.24806201550387597,0.07407407407407407,0.14814814814814814,0.047619047619047616,0.5117283950617283,0.4388888888888889,0.0,0.0,0.0,0.2403519320185987,0.19181363903586124
